protocol,file,application_flow_count,tx_packets,rx_packets,lost_packets,tx_bytes,rx_bytes,throughput_bps,throughput_mbps,pdr_percent,loss_percent,avg_delay_s,avg_delay_ms,avg_jitter_s,avg_jitter_ms
AODV,final1000_AODV_107.xml,2,29298,4146,22639,15820920,2238840,255867.42857142858,0.2558674285714286,14.1511365963547,85.84886340364531,0.14960226724553785,149.60226724553786,0.006120381090207429,6.120381090207428
AODV,final1000_AODV_108.xml,2,29298,12672,16625,15820920,6842880,782043.4285714285,0.7820434285714285,43.25209911939382,56.74790088060618,0.010293244949494948,10.293244949494948,0.0009209769570707071,0.920976957070707
AODV,final1000_AODV_109.xml,2,29298,7270,21964,15820920,3925800,448662.85714285716,0.44866285714285714,24.813980476483035,75.18601952351696,0.000782101788170564,0.782101788170564,1.757936726272352e-05,0.017579367262723522
AODV,final1000_AODV_11.xml,2,29298,2330,26626,15820920,1258200,143794.2857142857,0.1437942857142857,7.9527612806334895,92.0472387193665,0.047771072961373395,47.77107296137339,0.0022046094420600858,2.204609442060086
AODV,final1000_AODV_110.xml,2,29298,11299,15450,15820920,6101460,697309.7142857143,0.6973097142857143,38.565772407672874,61.43422759232712,0.03487379414107443,34.87379414107443,0.0014188662713514471,1.418866271351447
AODV,final1000_AODV_111.xml,2,29298,20313,8848,15820920,10969020,1253602.2857142857,1.2536022857142857,69.33237763669875,30.66762236330125,0.025129326047358833,25.129326047358834,0.0010782858268104168,1.0782858268104167
AODV,final1000_AODV_112.xml,2,29298,10942,17839,15820920,5908680,675277.7142857143,0.6752777142857144,37.347259198580105,62.652740801419895,0.052774538475598605,52.774538475598604,0.0017613726923779932,1.7613726923779933
AODV,final1000_AODV_113.xml,2,29298,5019,24151,15820920,2710260,309744.0,0.309744,17.130862174892485,82.86913782510752,0.0006919904363419008,0.6919904363419008,4.2255429368400075e-05,0.04225542936840008
AODV,final1000_AODV_114.xml,2,29298,1385,27849,15820920,747900,85474.28571428571,0.08547428571428571,4.727285138917332,95.27271486108266,0.08966570397111913,89.66570397111913,0.0029183393501805055,2.9183393501805055
AODV,final1000_AODV_115.xml,2,29298,4474,22230,15820920,2415960,276109.71428571426,0.27610971428571424,15.27066693972285,84.72933306027716,0.19935024586499778,199.3502458649978,0.01123687974966473,11.23687974966473
AODV,final1000_AODV_116.xml,2,29298,0,29170,15820920,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
AODV,final1000_AODV_117.xml,2,29298,3853,22656,15820920,2080620,237785.14285714287,0.23778514285714286,13.151068332309373,86.84893166769064,0.11654566727225539,116.54566727225539,0.004694825512587594,4.6948255125875935
AODV,final1000_AODV_118.xml,2,29298,0,29170,15820920,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
AODV,final1000_AODV_119.xml,2,29298,3728,25434,15820920,2013120,230070.85714285713,0.23007085714285713,12.724418049013583,87.2755819509864,0.004857725321888412,4.857725321888412,0.0006875724248927039,0.687572424892704
AODV,final1000_AODV_12.xml,2,29298,5620,21173,15820920,3034800,346834.28571428574,0.34683428571428576,19.182196736978632,80.81780326302137,0.000712549822064057,0.7125498220640569,3.4516903914590746e-05,0.034516903914590745
AODV,final1000_AODV_120.xml,2,29298,7549,21621,15820920,4076460,465881.14285714284,0.4658811428571428,25.766263908799235,74.23373609120077,0.002921949927142668,2.9219499271426677,0.00036546032587097627,0.36546032587097627
AODV,final1000_AODV_121.xml,2,29298,7391,21400,15820920,3991140,456130.28571428574,0.45613028571428577,25.22697795071336,74.77302204928664,0.029523136246786635,29.523136246786635,0.0006728521174401298,0.6728521174401298
AODV,final1000_AODV_122.xml,2,29298,14709,13869,15820920,7942860,907755.4285714285,0.9077554285714285,50.20479213598198,49.79520786401802,0.018607206472227886,18.607206472227887,0.0009448228975457204,0.9448228975457204
AODV,final1000_AODV_123.xml,2,29298,7464,19450,15820920,4030560,460635.4285714286,0.4606354285714286,25.4761417161581,74.5238582838419,0.002759454715969989,2.7594547159699894,0.0003366930600214362,0.33669306002143623
AODV,final1000_AODV_124.xml,2,29298,0,29170,15820920,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
AODV,final1000_AODV_125.xml,2,29298,9221,17572,15820920,4979340,569067.4285714285,0.5690674285714286,31.4731380981637,68.5268619018363,0.06688385207678126,66.88385207678125,0.002698199761414163,2.698199761414163
AODV,final1000_AODV_126.xml,2,29298,11927,14654,15820920,6440580,736066.2857142857,0.7360662857142857,40.70926343095092,59.29073656904909,0.040631466420726084,40.631466420726085,0.003209269724155278,3.209269724155278
AODV,final1000_AODV_127.xml,2,29298,3233,25644,15820920,1745820,199522.2857142857,0.1995222857142857,11.034882927162263,88.96511707283774,0.0723194618001856,72.31946180018559,0.0034153424064336524,3.4153424064336524
